round,participation,accepted_updates,communication_cost,w1,w2,bias,proxy_accuracy,aggregator,consensus
1,37,37,111,0.07847471171184889,0.09054467134870507,0.0536388444261518,0.5371097045811176,fedavg,threshold
2,37,36,111,0.15498939433589418,0.17931852737384169,0.10253269235262362,0.5728067690103933,fedavg,threshold
3,37,33,111,0.23270534180223715,0.2785628970233939,0.15280080833850412,0.6106781745273558,fedavg,threshold
4,37,34,111,0.3155783575519087,0.36715947975806734,0.2011352151465025,0.6473121754094131,fedavg,threshold
5,37,36,111,0.39128328915890387,0.4622589680155022,0.2482796902635345,0.6836369912396567,fedavg,threshold
6,37,35,111,0.4698225559617637,0.557716519045039,0.29838571110623774,0.7209874643521734,fedavg,threshold
7,37,35,111,0.5414362887998247,0.65373427887425,0.3432090126625813,0.7563965967227759,fedavg,threshold
8,37,36,111,0.6153899133785136,0.7437784238439339,0.3957378755933966,0.7924843688026406,fedavg,threshold
9,37,34,111,0.6849063874107421,0.8325414092788721,0.44420081914647985,0.8269414359726823,fedavg,threshold
10,37,34,111,0.7579039843834583,0.9295091110019306,0.48649623051548063,0.8623182209834783,fedavg,threshold
11,37,37,111,0.8376634776429822,1.026192824000895,0.536271331992891,0.9000212722727947,fedavg,threshold
12,37,37,111,0.9129851446742759,1.1166955829507104,0.5805213744120421,0.9350336836728381,fedavg,threshold
13,37,37,111,0.9898705487708988,1.2109427908665766,0.6277986288162566,0.971435328075622,fedavg,threshold
14,37,35,111,1.0644637982842888,1.3035851299256294,0.6784963620318446,0.99,fedavg,threshold
15,37,35,111,1.1389429289713733,1.3934210659433206,0.7264669372775231,0.99,fedavg,threshold
