round,participation,accepted_updates,communication_cost,w1,w2,bias,proxy_accuracy,aggregator,consensus
1,37,37,111,0.07847471171184887,0.09054467134870506,0.05363884442615179,0.5371097045811176,fedavg,threshold
2,37,36,111,0.15498939433589415,0.17931852737384166,0.10253269235262358,0.5728067690103932,fedavg,threshold
3,37,33,111,0.23270534180223715,0.2785628970233939,0.15280080833850407,0.6106781745273558,fedavg,threshold
4,37,34,111,0.31557835755190883,0.36715947975806734,0.20113521514650248,0.6473121754094131,fedavg,threshold
5,37,36,111,0.3912832891589041,0.4622589680155022,0.24827969026353444,0.6836369912396568,fedavg,threshold
6,37,35,111,0.469822555961764,0.557716519045039,0.2983857111062377,0.7209874643521734,fedavg,threshold
7,37,35,111,0.5414362887998249,0.65373427887425,0.34320901266258136,0.756396596722776,fedavg,threshold
8,37,36,111,0.615389913378514,0.7437784238439338,0.3957378755933967,0.7924843688026407,fedavg,threshold
9,37,34,111,0.6849063874107424,0.8325414092788721,0.4442008191464799,0.8269414359726823,fedavg,threshold
10,37,34,111,0.7579039843834586,0.9295091110019303,0.48649623051548074,0.8623182209834783,fedavg,threshold
11,37,37,111,0.8376634776429824,1.0261928240008946,0.5362713319928911,0.9000212722727947,fedavg,threshold
12,37,37,111,0.9129851446742764,1.1166955829507097,0.5805213744120422,0.9350336836728381,fedavg,threshold
13,37,37,111,0.9898705487708992,1.210942790866576,0.6277986288162566,0.971435328075622,fedavg,threshold
14,37,35,111,1.0644637982842893,1.303585129925629,0.6784963620318446,0.99,fedavg,threshold
15,37,35,111,1.1389429289713742,1.39342106594332,0.7264669372775232,0.99,fedavg,threshold
