round,participation,accepted_updates,communication_cost,w1,w2,bias,proxy_accuracy,aggregator,consensus
1,37,37,111,0.07673180462645966,0.09187489303021026,0.05234876755409216,0.5368259108684603,fedavg,threshold
2,37,36,111,0.15705128194038143,0.18443721466196278,0.10159590304226963,0.5738473999407689,fedavg,threshold
3,37,34,111,0.23564971019530315,0.278162050646133,0.15536874285091357,0.611530083948725,fedavg,threshold
4,37,34,111,0.3130902479283196,0.367208930993382,0.2054909077271801,0.647631681108147,fedavg,threshold
5,37,35,111,0.39078473792385293,0.46129311521597094,0.25443573740488973,0.6844189317574523,fedavg,threshold
6,37,37,111,0.4684276988982302,0.5532382035388808,0.3030139989383183,0.7207799835625716,fedavg,threshold
7,37,33,111,0.5475792331643112,0.6452373441234752,0.35484924477032437,0.7579443036763518,fedavg,threshold
8,37,35,111,0.6222921762303654,0.7398405294354833,0.40269675703851304,0.7941382437840603,fedavg,threshold
9,37,33,111,0.6939384610233598,0.8326515253514029,0.45101186567796453,0.8296003086754545,fedavg,threshold
10,37,35,111,0.7685794399029187,0.926473561112642,0.501332882894508,0.8660643139850115,fedavg,threshold
11,37,35,111,0.8418628227843798,1.0202133177593855,0.5482225187169262,0.9017164432101152,fedavg,threshold
12,37,37,111,0.9162473769828152,1.1170818846153907,0.5986115543975343,0.9386568026659567,fedavg,threshold
13,37,34,111,0.9953966570769255,1.2145182196791702,0.6499406930594116,0.9766425949692512,fedavg,threshold
14,37,37,111,1.0683275819612303,1.3104022467875283,0.6943695781825239,0.99,fedavg,threshold
15,37,36,111,1.1428829749722478,1.4033571074103666,0.7406241028541873,0.99,fedavg,threshold
