round,participation,accepted_updates,communication_cost,w1,w2,bias,proxy_accuracy,aggregator,consensus
1,37,33,111,0.08927731044894373,0.09896951135012502,0.08562152610432834,0.5456447246505662,weighted,voting
2,37,33,111,0.177055610113546,0.19748917963917956,0.17487541708343074,0.5915700344726927,weighted,voting
3,37,36,111,0.2628998157505896,0.29666019524999654,0.2599254845997611,0.6365809159333912,weighted,voting
4,37,33,111,0.346310315157445,0.4039833942762099,0.34154948737352137,0.6819738661345294,weighted,voting
5,37,34,111,0.43016450485240026,0.5063892256424467,0.41685831255106814,0.7255686738409859,weighted,voting
6,37,36,111,0.5125487880425375,0.6082250557977755,0.502972069417106,0.7706243188762365,weighted,voting
7,37,33,111,0.5944623404860944,0.7109694497910666,0.5863266143255825,0.8152930674337906,weighted,voting
8,37,32,111,0.6797222417510472,0.8104347184863536,0.6668920817402673,0.8595081736629446,weighted,voting
9,37,33,111,0.7600456725167364,0.9113170956198352,0.7445591405354978,0.9026536514453449,weighted,voting
10,37,32,111,0.8404299315200094,1.021129764786262,0.8257605472825282,0.9478867072647998,weighted,voting
11,37,34,111,0.9259622815194058,1.1279164215512532,0.9145418292000548,0.99,weighted,voting
12,37,37,111,1.0054770903399708,1.234419382307304,0.9928056938958704,0.99,weighted,voting
13,37,33,111,1.0927462738900293,1.3373014866272306,1.072655131076835,0.99,weighted,voting
14,37,37,111,1.1754312965447573,1.4444213894163722,1.1545796057650342,0.99,weighted,voting
15,37,34,111,1.2538120302705948,1.5466841086809089,1.2372255295179664,0.99,weighted,voting
