round,participation,accepted_updates,communication_cost,w1,w2,bias,proxy_accuracy,aggregator,consensus
1,37,33,111,0.10426349989606608,0.08140724176867747,0.10227402242877712,0.5479907940155868,robust,threshold
2,37,33,111,0.20882716161526638,0.18526621612599312,0.19848963023290855,0.5987638346623614,robust,threshold
3,37,36,111,0.2989323364527845,0.2826905026941726,0.28773252825778073,0.644892561234123,robust,threshold
4,37,33,111,0.3719230247542183,0.39465832176049587,0.352651752991344,0.6865388499176763,robust,threshold
5,37,34,111,0.4382584298684954,0.5155745536477083,0.42974911032466856,0.7305970156401453,robust,threshold
6,37,33,111,0.5229295787273927,0.6127575448090722,0.5248432840557877,0.7767550679320421,robust,threshold
7,37,32,111,0.5757928391010936,0.7104437267941449,0.6106901696336549,0.8161544559214822,robust,threshold
8,37,34,111,0.6559639030253686,0.7892976418146065,0.6817923178844916,0.8545089771207444,robust,threshold
9,37,33,111,0.7316641093516772,0.8867795706453412,0.7406246418087716,0.8931780536342984,robust,threshold
10,37,32,111,0.8131095184759496,0.995917478263338,0.818181253439066,0.9378680416963923,robust,threshold
11,37,31,111,0.9120277369881242,1.0900341940838898,0.9323394343023987,0.9890668942290688,robust,threshold
12,37,30,111,0.9792272493768206,1.1636896289561829,1.0238712321812176,0.99,robust,threshold
13,37,32,111,1.0792174674928272,1.2564317081085163,1.0847226138796608,0.99,robust,threshold
14,37,33,111,1.1520970789909373,1.3566593557673743,1.1726297731602358,0.99,robust,threshold
15,37,35,111,1.1963948241699147,1.4736309827862017,1.2651366995882556,0.99,robust,threshold
